UserID.S2,UserID.S1,DOC.S2,DOC.S1,DAYS,CSIPPA.2,CSIPBC.2,CSIPDE.2,CSIPFG.2,CSIPHI.2,CSIPJK.2,CSIPLM.2,CSIPNO.2,CSIPTOT.2,CSIPPA.ip.2,CSIPBC.ip.2,CSIPDE.ip.2,CSIPFG.ip.2,CSIPHI.ip.2,CSIPJK.ip.2,CSIPLM.ip.2,CSIPNO.ip.2,CSIPPA.1,CSIPBC.1,CSIPDE.1,CSIPFG.1,CSIPHI.1,CSIPJK.1,CSIPLM.1,CSIPNO.1,CSIPTOT.1,CSIPPA.ip.1,CSIPBC.ip.1,CSIPDE.ip.1,CSIPFG.ip.1,CSIPHI.ip.1,CSIPJK.ip.1,CSIPLM.ip.1,CSIPNO.ip.1
1347127804,150695848,3/5/2020 22:28,6/26/2019 16:30,253.25,0,1,9,17,16,7,6,1,57,-0.875473787,-0.752600273,0.230387839,1.213375951,1.090502437,-0.015359189,-0.138232703,-0.752600273,1,2,10,16,16,12,9,0,66,-0.800933856,-0.690460221,0.193328862,0.856170674,0.856170674,0.414276132,0.082855226,-0.911407491
1365438080,1753986273,3/4/2020 9:57,6/27/2019 0:07,251.41,1,1,2,8,15,18,20,9,74,-0.799662289,-0.799662289,-0.702733527,-0.121160953,0.557340383,0.84812667,1.041984195,-0.024232191,2,5,4,7,13,13,18,8,70,-0.798620858,-0.443678255,-0.561992456,-0.207049852,0.502835355,0.502835355,1.094406362,-0.088735651
1395532516,1651424767,3/3/2020 22:23,6/26/2019 14:45,251.32,0,2,3,9,12,5,16,5,52,-0.746830487,-0.517036491,-0.402139493,0.287242495,0.631933489,-0.172345497,1.09152148,-0.172345497,0,3,4,7,9,6,13,2,44,-0.658552774,-0.29934217,-0.179605302,0.179605302,0.419079038,0.059868434,0.89802651,-0.419079038
1412035230,1056747017,3/16/2020 13:53,6/27/2019 17:59,262.83,12,5,1,1,3,7,12,6,47,0.729557735,-0.104222534,-0.580668402,-0.580668402,-0.342445468,0.1340004,0.729557735,0.014888933,10,5,0,0,1,3,8,6,33,0.866368646,0.129033628,-0.60830139,-0.60830139,-0.460834386,-0.165900379,0.571434639,0.276500632
1509990557,525183506,3/13/2020 21:14,6/26/2019 11:02,261.43,1,6,14,8,17,15,17,5,83,-1.125689696,-0.525321858,0.435266683,-0.285174723,0.795487385,0.55534025,0.795487385,-0.645395426,2,10,12,14,17,20,19,15,109,-1.190450286,-0.37121568,-0.166407029,0.038401622,0.345614599,0.652827576,0.55042325,0.140805948
1572531385,620799977,3/4/2020 0:32,6/26/2019 8:22,251.67,2,4,8,9,14,20,22,8,87,-0.975720358,-0.755839714,-0.316078426,-0.206138104,0.343563506,1.003205439,1.223086083,-0.316078426,1,3,5,7,16,19,22,8,81,-0.959281519,-0.749028035,-0.538774552,-0.328521068,0.617619608,0.932999834,1.248380059,-0.223394326
1590528045,1321694811,3/10/2020 7:22,6/26/2019 21:23,257.42,1,3,17,19,16,8,3,1,68,-0.791669721,-0.580557795,0.897225684,1.108337609,0.791669721,-0.052777981,-0.580557795,-0.791669721,0,7,12,17,17,12,6,0,71,-0.978682142,-0.206763833,0.344606388,0.895976609,0.895976609,0.344606388,-0.317037877,-0.978682142
1590773000,1359107340,3/3/2020 22:03,6/25/2019 22:52,251.97,4,8,10,3,5,8,13,10,61,-0.498593944,0.051578684,0.326664998,-0.636137101,-0.361050787,0.051578684,0.739294468,0.326664998,23,24,21,21,18,21,16,21,165,0.469314664,0.666920838,0.074102315,0.074102315,-0.518716208,0.074102315,-0.913928556,0.074102315
1595040213,275545953,3/8/2020 10:39,6/26/2019 11:55,255.95,3,3,14,10,5,2,8,3,48,-0.387298335,-0.387298335,1.032795559,0.516397779,-0.129099445,-0.516397779,0.25819889,-0.387298335,2,5,12,4,0,1,4,2,30,-0.284121235,0.20294374,1.339428681,0.040588748,-0.608831219,-0.446476227,0.040588748,-0.284121235
1600521280,214653630,3/4/2020 7:43,6/26/2019 12:36,251.8,0,4,7,10,12,14,10,2,59,-1.291489225,-0.591020493,-0.065668944,0.459682605,0.809916971,1.160151338,0.459682605,-0.941254859,1,1,2,5,10,12,9,3,43,-0.749102379,-0.749102379,-0.577878978,-0.064208775,0.79190823,1.134355032,0.620684829,-0.406655577
